"","scen","TE","lower","upper","p","true","ror","sig","cov"
"1","rcts",1.237669056312,0.642928062669801,2.3825755662169,0.523410844766073,1.7,0.728040621359999,FALSE,TRUE
"2","rcts_high",1.46582343449256,1.08789490480894,1.97504219535333,0.0119463642003502,1.7,0.86224907911327,TRUE,TRUE
"3","rcts_mod",1.27189802305775,1.01025026149559,1.60131072736702,0.0406826379844329,1.7,0.748175307681031,TRUE,FALSE
"4","rcts_low",1.01327815287417,0.790811261714851,1.29832826718432,0.916934955658987,1.7,0.596045972278923,FALSE,FALSE
"5","var",1.24047290201376,0.981242404122929,1.56818846613733,0.0716005504076102,1.7,0.729689942361035,FALSE,FALSE
"6","bias",1.54518760902575,1.273229697536,1.87523488629529,1.05503334639657e-05,1.7,0.908933887662206,TRUE,TRUE
"7","var_bias",1.41441906323321,1.1188377914513,1.78808876650695,0.00374617175599071,1.7,0.832011213666594,TRUE,TRUE
"8","reg",1.23978767326263,0.596423743520868,2.57715004050671,0.564808839164338,1.7,0.729286866625077,FALSE,TRUE
"9","three_lvl",1.07102699672209,0.777516504825997,1.47533694858897,0.674540027189687,1.7,0.63001588042476,FALSE,FALSE
"10","three_lvl_var",1.23592206827364,0.968910751359758,1.5765160585762,0.0880740735832768,1.7,0.727012981337436,FALSE,FALSE
"11","three_lvl_bias",1.41441901502868,1.11883766765013,1.78808884248283,0.00374618647211368,1.7,0.83201118531099,TRUE,TRUE
"12","rcts",1.84200407814474,0.561734212249105,6.04018582082949,0.313385395356731,1.7,1.08353181067338,FALSE,TRUE
"13","rcts_high",1.58238884532689,0.927955957580272,2.69835484902133,0.0919157078501611,1.7,0.930816967839345,FALSE,TRUE
"14","rcts_mod",1.30286603268864,0.910870015949732,1.86355887163982,0.147405913761061,1.7,0.766391783934491,FALSE,TRUE
"15","rcts_low",1.03528777295457,0.819307626584726,1.30820309496825,0.771431555764923,1.7,0.608992807620334,FALSE,FALSE
"16","var",1.2100031381572,0.909611782989656,1.60959611751964,0.190442438050679,1.7,0.711766551857175,FALSE,FALSE
"17","bias",1.5786137797736,1.32918069708537,1.87485529330631,1.96212297674611e-07,1.7,0.928596341043291,TRUE,TRUE
"18","var_bias",1.42010405601722,1.10596959988062,1.82346380057304,0.00596700930501357,1.7,0.835355327068954,TRUE,TRUE
"19","reg",1.72937766160644,0.810634852524854,3.68938873914461,0.156508670020307,1.7,1.01728097741555,FALSE,TRUE
"20","three_lvl",1.12924111171222,0.809117597804553,1.57601996525737,0.474840217236073,1.7,0.664259477477778,FALSE,FALSE
"21","three_lvl_var",1.20696544082804,0.901094482616994,1.61666240716781,0.207118343477156,1.7,0.709979671075316,FALSE,FALSE
