"","scen","ror","cov","power","alpha"
"1","rcts",1.06455430302595,0.966,0.258,0.027
"2","rcts_high",0.946863584602446,0.952,0.751,0.045
"3","rcts_mod",0.823286347120637,0.614,0.824,0.287
"4","rcts_low",0.649906613838927,0.002,0.068,0.991
"5","reg",1.04458204394953,0.963,0.28,0.028
"6","var",0.783914375189335,0.463,0.719,0.356
"7","bias",0.996070151021127,0.963,1,0.031
"8","var_bias",0.901920923626636,0.906,0.977,0.042
"9","three_lvl",0.721252151244419,0.546,0.03,0.442
"10","three_lvl_var",0.779353645689844,0.592,0.417,0.291
"11","three_lvl_bias",0.899799632374116,0.916,0.956,0.036
