"","scen","ror","cov","opp_alpha","opp_beta"
"1","bias",1.00928034740914,0.973,0.027,1
"2","rcts",1.07822034808731,0.976,0.024,0.245
"3","rcts_high",0.950660827384279,0.942,0.058,0.753
"4","rcts_low",0.65557525084134,0.022,0.978,0.071
"5","rcts_mod",0.829389167703126,0.687,0.313,0.852
"6","reg",1.07194647839396,0.977,0.023,0.274
"7","three_lvl",0.722467011459262,0.536,0.464,0.033
"8","three_lvl_bias",0.847334419494187,0.649,0.351,0.945
"9","three_lvl_var",0.746131261430527,0.561,0.439,0.078
"10","var",0.733019081059019,0.192,0.808,0.385
"11","var_bias",0.876806119193581,0.873,0.127,0.991
